name,district,party,age,www,education,segment,oik,imp,lib,vih
Teija Arvidsson,Häme,Kristillisdemokraatit,53,http://www.teijahelina.net,Kasvatustieteen maisteri,Kansalliskonservatiivit,0.008276634,0.269926853,-2.111536414,-0.201403859
Sonja Falk,Häme,Kristillisdemokraatit,38,http://www.sonjafalk.fi,Ylempi korkeakoulututkinto,Oikeisto,1.170671109,-0.857203557,-1.158054615,-0.186320295
Tapani Ihalainen,Häme,Kristillisdemokraatit,48,http://www.tapsantahtiin.fi,keskiaste,Oikeisto,1.032018774,-0.449972128,-1.505875279,0.41717821
Johannes Koskinen,Häme,Kristillisdemokraatit,39,https://johanneskoskinen.wordpress.com/,FM & TM,Kansalliskonservatiivit,0.397396053,-0.2717212,-1.341465582,0.049839225
Ismo Portin,Häme,Kristillisdemokraatit,53,http://www.ismoportin.blogspot.fi,keskiaste & merkononomi/MJD,Oikeisto,1.248470596,0.16638804,-1.250869754,-0.40875233
Mirja Pöhö,Häme,Kristillisdemokraatit,65,,korkeakoulu,Kansalliskonservatiivit,0.825285837,-0.620275022,-1.187528838,-0.599217939
Timo Räihä,Häme,Kristillisdemokraatit,61,http://timojohannes.blogspot.com,Ammattikoulu.Päihdetutkinto,Kansalliskonservatiivit,0.125637304,0.724302155,-1.186021548,-0.210981843
Päivi Räsänen,Häme,Kristillisdemokraatit,55,http://www.paivirasanen.fi,lääketieteen lisensiaatti,Oikeisto,0.930071007,-0.612908148,-1.248413522,-0.834297331
Kirsi Timonen,Häme,Kristillisdemokraatit,50,http://www.kirsitimonen.wordpress.com,lääketieteen lisensiaatti,Kansalliskonservatiivit,0.389911479,0.112297696,-2.056381375,-0.159695722
Teppo Turja,Häme,Kristillisdemokraatit,63,http://www,Taloushallinnon tutkinto & toimittajatutkinto (kesken),Kansalliskonservatiivit,0.362284374,0.396777807,-1.863678316,-0.135699359
Sirkka-Liisa Anttila,Häme,Keskusta,71,http://www.sirkka-liisa.com,hallintonotaarin tutkinto Tampereen Yliopisto,Kansalliskonservatiivit,0.544289202,1.394148885,-0.361977475,-0.059286595
Tapio Eerola,Häme,Keskusta,57,http://www.tapioeerola.fi,toimittajatutkinto,Kansalliskonservatiivit,0.363891299,0.072872974,0.068213886,-0.803434881
Antti Kalliomaa,Häme,Keskusta,38,http://www.kalliomaa.fi,Hallintotieteiden yo. & Nuoriso- ja vapaa-ajanohjaaja,Oikeisto,1.346058688,-1.218681395,0.637397973,0.68112489
Timo Kaunisto,Häme,Keskusta,52,http://www.timokaunisto.fi,Yliopistotutkinto,Kansalliskonservatiivit,0.202675583,-0.496177281,-0.590601791,0.437593225
Hilkka Kemppi,Häme,Keskusta,26,http://www.hilkkakemppi.fi,Restonomi (AMK) & viittä vaille taiteen ja yhteiskuntatieteen maisteri,Oikeisto,0.899580181,-0.376719573,0.402788871,0.694938919
Rami Lehtinen,Häme,Keskusta,39,http://www.ramilehtinen.fi,Ammattikorkekoulu,Kansalliskonservatiivit,0.216275724,1.640907355,-1.258341199,-0.496007482
Eevakaisa Lehtosalo-Lönnberg,Häme,Keskusta,42,http://www.eevakaisa.net,kasvatustieteiden yo,Kansalliskonservatiivit,0.752691818,0.578681558,0.424681362,0.047221741
Tapio Malmiharju,Häme,Keskusta,62,http://www.tapiomalmiharju.fi,Maanviljelysteknikko,Kansalliskonservatiivit,0.381744102,0.160621145,-1.040120087,-0.998594065
Asko Niemelä,Häme,Keskusta,36,http://www.askoniemela.com/,opisto,Kansalliskonservatiivit,0.656125249,-0.002160965,0.284660671,-0.318951782
Marjatta Rahkio,Häme,Keskusta,52,http://www.marjattarahkio.fi,Eläinlääketieteen tohtori,Kansalliskonservatiivit,0.263864314,-0.267642254,-0.769033682,-0.56565421
Heini Ristavaara,Häme,Keskusta,48,http://www.heiniristavaara.fi,Valtiotieteiden maisteri (VTM),Kansalliskonservatiivit,0.044430031,0.42152294,0.361485081,0.138687265
Kaarina Suhonen,Häme,Keskusta,45,http://www.kaarinasuhonen.fi,ylioppilas & alempi korkeakoulututkinto,Kansalliskonservatiivit,-0.109275278,-0.16514049,-1.196544052,0.274717853
Martti Talja,Häme,Keskusta,63,http://www.marttitalja.fi,korkeakoulu,Kansalliskonservatiivit,0.773743333,-0.50157161,-0.934024843,-1.246294549
Titta Andersson-Bohren,Häme,Kokoomus,30,http://www.tittaab.fi,Ylempi korkeakoulu,Oikeisto,1.142132931,-0.596172802,0.738394084,0.47779881
Sanni Grahn-Laasonen,Häme,Kokoomus,31,http://www.sannigrahnlaasonen.fi,Valtiotieteiden maisteri,Oikeisto,1.46685301,-0.94837088,0.485868302,0.19925988
Timo Heinonen,Häme,Kokoomus,40,http://www.timoheinonen.fi,Kasvatustieteen maisteri,Oikeisto,1.325895548,-0.209246185,0.096968905,-1.144608244
Kristiina Hämäläinen,Häme,Kokoomus,36,http://www.kristiinahamalainen.fi,Ylempi ammattikorkeakoulututkinto,Oikeisto,1.352670627,-0.519059174,1.005473238,-0.891200274
Juha Isosuo,Häme,Kokoomus,57,,ylempi korkeakoulututkinto,Oikeisto,1.349887183,-0.337893005,0.475536331,-0.963238725
Kalle Jokinen,Häme,Kokoomus,53,http://www.kallejokinen.fi,yo/amk,Oikeisto,1.699533545,0.35598839,-0.578887871,-1.802458775
Francis Mc Carron,Häme,Kokoomus,36,http://www.frane.fi,Ylempi korkeakoulututkinto,Oikeisto,2.067038235,-0.363667747,1.332737187,-0.604380428
Sari Niinistö,Häme,Kokoomus,45,http://www.sariniinisto.fi,yo & terveydenhoitaja & diakonissa & opintoja kasvatustieteestä ja psykologiasta,Oikeisto,1.876904161,-1.34023898,-0.239735996,-0.482827607
Sari Rautio,Häme,Kokoomus,46,http://www.sarirautio.fi,markkinointimerkonomi & kasvatustieteen yo,Oikeisto,1.35640885,-1.156479837,0.71635423,0.832992282
Tuomo Riihilahti,Häme,Kokoomus,43,http://www.tuomoriihilahti.fi,tradenomi & LKV & julkinen kaupanvahvistaja,Oikeisto,1.62192859,-0.142748713,0.712254349,-0.497791179
Pekka Romo,Häme,Kokoomus,63,http://www.pekkaromo.fi,yliopistotutkinto,Oikeisto,1.364218074,-0.809538108,0.077325856,-1.24232786
Juuso Seppälä,Häme,Kokoomus,24,http://www.juusoseppala.fi,Kauppatieteiden kandidaatti,Oikeisto,1.591276727,-0.041591113,0.746633154,-1.144704485
Merja Vahter,Häme,Kokoomus,61,http://www.merjavahter.fi,keskikoulu,Oikeisto,1.177336454,-0.770085887,-0.374900013,-1.032480742
Ilkka Viljanen,Häme,Kokoomus,54,http://www.ilkkaviljanen.fi,Alempi korkeakoulututkinto,Oikeisto,1.71257131,-0.638798199,-0.896215585,-0.307833386
Kimmo Koljonen,Häme,Muutos 2011,33,http://koljkimm.blogspot.fi/,,Kansalliskonservatiivit,0.151224576,1.419222624,0.865492747,-0.621015546
Anita Saarinen,Häme,Muutos 2011,44,http://anitaekv2015.blogspot.fi/,"ammattikoulu, liikunnanohjaaja",Kansalliskonservatiivit,-0.16806659,1.881243456,0.681199886,-0.631636759
Kari Ilkkala,Häme,Perussuomalaiset,54,http://www.ilkka.la,Insinööri,Kansalliskonservatiivit,0.357799432,1.260728146,-0.359687971,-0.777928776
Harri Kerijoki,Häme,Perussuomalaiset,65,,Ammattikoulu,Kansalliskonservatiivit,-0.05338318,1.920585849,-0.874684656,-1.79726333
Rami Lehto,Häme,Perussuomalaiset,42,http://www.ramilehto.fi,Sähkövoimatekniikan mekaanikko,Kansalliskonservatiivit,0.1647927,2.193147961,-0.40498215,-1.714791308
Matti Lintukorpi,Häme,Perussuomalaiset,47,http://www.mattilintukorpi.fi,Ammatillinen koulutus,Kansalliskonservatiivit,0.725896742,2.013025386,-0.423198095,-1.065302393
Anne Louhelainen,Häme,Perussuomalaiset,50,http://www.annelouhelainen.net,Yo-merkonomi,Kansalliskonservatiivit,0.175360613,2.162311462,-0.46666563,-1.545601062
Mira Nieminen,Häme,Perussuomalaiset,39,http://www.miranieminen.com,Alempi korkeakoulututkinto,Kansalliskonservatiivit,0.002829928,1.760812429,-0.761070469,-1.474623972
Lulu Ranne,Häme,Perussuomalaiset,43,http://www.luluranne.fi,ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.077232627,1.17440715,-1.240677064,-0.392981615
Jari Ronkainen,Häme,Perussuomalaiset,42,http://www.jarironkainen.fi,,Kansalliskonservatiivit,0.752677051,1.866839907,-0.424801786,-2.463685918
Heidi Selenius,Häme,Perussuomalaiset,45,http://www.heidiselenius.com,toisen asteen,Kansalliskonservatiivit,0.119844161,1.469537075,-0.741568434,-0.328105765
Maarit Tuomi,Häme,Perussuomalaiset,47,http://www.maarittuomi.net,lähihoitaja & yo-merkonomi,Kansalliskonservatiivit,0.079989011,1.255157059,-1.488785509,-1.212869111
Eeva-Maria Tuominen,Häme,Perussuomalaiset,50,http://www.eevamariatuominen.fi,ylempi korkeakoulututkino,Demarit,-0.517649175,1.311146461,-0.518099823,0.317661063
Matti Luostarinen,Häme,Perussuomalaiset,63,http://www.clusterart.org,Filosofian tohtori (luonnontieteet) Valtiotieteen tohtori (ihmistieteet),Kansalliskonservatiivit,0.696502348,1.438141459,0.233517117,-0.516508367
Tarja Filatov,Häme,SDP,51,http://www.Filatov.net,Yhteiskuntatieteiden yo.,Demarit,-0.9146634,-0.374694235,-1.034829693,0.55393875
Sirkku Hildén,Häme,SDP,38,http://www.sirkkuhilden.fi,Ammattikorkeakoulu,Demarit,-0.856605755,-1.217267109,-0.498724683,0.189950815
Mika Kari,Häme,SDP,47,http://www.mikakari.fi,Ammattikorkeakoulu,Demarit,-0.867987414,-0.364226523,-0.402207547,0.632441752
Pasi Karjalainen,Häme,SDP,37,http://www.pasikarjalainen.fi,peruskoulu,Demarit,-1.004834845,0.488538123,0.179687031,-0.056974681
Iisakki Kiemunki,Häme,SDP,37,http://www.iisakkikiemunki.net,Hallintotieteiden maisteri,Viherliberaalit,-0.428243873,-0.405562287,1.253758716,-0.265317777
Kirsi Lehtimäki,Häme,SDP,48,http://kirsimaaritlehtimaki.com,sairaanhoitja AMK,Demarit,-0.938221478,-0.263425872,-0.058123555,0.693865222
Kaisa Lepola,Häme,SDP,37,http://www.kaisalepola.fi,Ylempikorkeakoulututkinto,Demarit,-1.143764607,-0.882396183,-0.510349849,1.032000019
Minna Lintonen,Häme,SDP,52,http://www.minnalintonen.fi,kasvatustieteen maisteri,Demarit,-0.51163069,0.033018473,0.415125934,0.122762435
Prabhakaran Ranjith Kumar,Häme,SDP,40,http://www.ranji.fi,Vanhustenhoidon lähihoitaja & Terveydenhoitaja opiskelija,Demarit,-0.957081594,-0.857404047,-1.210256965,1.000082349
Ville Skinnari,Häme,SDP,41,http://www.villeskinnari.fi,Ylempi korkeakoulututkinto,Demarit,-0.476495979,-0.203631826,-0.950155443,-0.11485708
Eero Vainio,Häme,SDP,28,http://www.eerovainio.fi,Hallintotieteiden opinnot maisterivaiheessa (kuntaliitoksia käsittelevä gradu työn alla),Demarit,-0.81216878,-0.658276136,-0.402734999,0.546524336
Paavo Nygren,Häme,SKP,37,,ammattikoulu,Vihervasemmisto,-1.407485134,0.309021387,0.541396247,1.179375903
Tero Pitkä,Häme,SKP,38,,opisto,Vihervasemmisto,-1.647064819,0.042200633,0.142946369,1.429562677
Antti Hartikainen,Häme,Vasemmistoliitto,24,http://www.hartikainen.vas.fi,Ylioppilas,Viherliberaalit,-0.741392999,0.390255759,0.894309895,0.496965884
Antti Holopainen,Häme,Vasemmistoliitto,,http://wwwanttiholopainen.com,yleislääketieteen erikoislääkäri,Vihervasemmisto,-1.505177629,-0.628826698,-0.381934681,1.301687641
Kimmo Kautio,Häme,Vasemmistoliitto,32,http://www.kimmokautio.com,Ylioppilas & yrittäjän Ammattitutkinto,Demarit,-1.117620453,0.434832869,0.016926488,0.348333621
Heikki Leisti,Häme,Vasemmistoliitto,57,http://www,Peruskoulu ja elämänkoulu,Viherliberaalit,-0.295212441,-0.914982065,-1.689129878,1.030365623
Elisa Lientola,Häme,Vasemmistoliitto,36,http://www.elisalientola.fi,ammattikorkeakoulu & ylempi ammattikorkeakoulututkinto kesken,Vihervasemmisto,-1.589344575,-0.628940271,0.146657125,1.485348074
Janne Nieminen,Häme,Vasemmistoliitto,47,http://www.jannenieminen.com,Toinen aste,Vihervasemmisto,-1.463912535,0.518859762,-1.049289765,0.806253562
Antti Papinniemi,Häme,Vasemmistoliitto,32,http://www.antti.papinniemi.com,Toinen aste,Demarit,-0.966223106,0.184648027,0.494651803,0.367217871
Aino-Kaisa Pekonen,Häme,Vasemmistoliitto,36,http://www.aino-kaisa.fi,ammatillinen perustutkinto & lähihoitaja,Vihervasemmisto,-1.498056728,-0.731413667,0.593252678,1.249455557
Seppo Rantanen,Häme,Vasemmistoliitto,,,keskiaste markkinointi-merkonomi Lv-putkiasentaja,Demarit,-0.702351356,0.465336562,-0.528868758,0.22186507
Irma Taavela,Häme,Vasemmistoliitto,39,http://www.irmataavela.fi,Alempi korkeakoulututkinto,Vihervasemmisto,-1.393531515,-0.440871443,0.427537049,1.331837759
Aleksi Mäntylä,Häme,Vihreät,35,http://www.aleksimantyla.fi,LuK,Viherliberaalit,-0.197326695,-0.154598221,0.59865127,1.060436655
Teppo Heiskanen,Häme,Vihreät,50,http://www.teppoheiskanen.fi,teologian maisteri & tradenomiopiskelija,Viherliberaalit,0.064702503,-1.690929058,0.786113284,1.179397418
Mikko Haapala,Häme,Vihreät,51,http://mikkohaapala.com,ammattikorkeakoulu,Viherliberaalit,-0.813663063,-0.502747476,0.583218547,1.090742912
Elli Latva-Hakuni,Häme,Vihreät,25,http://www.ellilatvahakuni.net,filosofian ylioppilas,Viherliberaalit,-0.863612462,-0.544703833,1.258275539,1.274680771
Eero Yrjö-Koskinen,Häme,Vihreät,52,http://www.yrjo-koskinen.fi,Valtiotieteen maisteri,Viherliberaalit,-0.068362263,-1.751620527,-0.37653413,1.136151228
Kari Tiilikkala,Häme,Vihreät,,,,Viherliberaalit,0.337165686,-0.725129402,-0.291312578,0.721270467
Kirsi Ojansuu-Kaunisto,Häme,Vihreät,51,http://www.kirsiojansuu-kaunisto.fi,Kasvatustieteiden maisteri & Tampereen yliopisto,Viherliberaalit,-0.411150392,-1.304996566,-0.789560658,0.974382788
Sari Jokinen,Häme,Vihreät,40,http://www.sarijokinen.com,KM & luokanopettaja,Viherliberaalit,-0.332021287,-0.494317092,0.432532821,1.045573715
Auli Laine,Häme,Vihreät,47,,AMK,Vihervasemmisto,-1.226409628,-0.223240579,0.899483796,1.030671022
Mari Monto,Häme,Vihreät,47,http://www.vihreatehdokkaat.fi/mari.monto/,Rakennustekniikan diplomi-insinööri,Viherliberaalit,-0.647549327,-0.434068392,1.22480554,1.400123888
Mirka Soinikoski,Häme,Vihreät,39,http://www.mirkasoinikoski.fi,Ylempi korkeakoulututkinto,Viherliberaalit,-0.162431552,-0.837297027,0.309749773,1.046616823
Tuomas Auvinen,Helsinki,Kristillisdemokraatit,28,,FM,Oikeisto,0.88738237,-0.181728632,0.454406762,-0.76399271
Janika Cacho,Helsinki,Kristillisdemokraatit,,,korkeakoulu,Kansalliskonservatiivit,0.524845386,0.107172407,-1.742998505,0.32518083
Mikael Elmolhoda,Helsinki,Kristillisdemokraatit,26,http://www.mikaelelmolhoda.fi,teol. yo.,Kansalliskonservatiivit,0.342189901,0.693129512,-0.770335807,-0.44660921
Andreas Forsberg,Helsinki,Kristillisdemokraatit,34,,Alempi korkeakoulu,Kansalliskonservatiivit,0.802076782,0.259953501,-1.348888909,-0.000339703
Jaakob Happonen,Helsinki,Kristillisdemokraatit,58,http://www.jaakob.club,Korkeakoulututkinto,Kansalliskonservatiivit,-0.04018372,0.084491579,-1.499369506,-0.657557879
Petteri Hiienkoski,Helsinki,Kristillisdemokraatit,49,http://petterihiienkoski.puheenvuoro.uusisuomi.fi/,ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.103983362,0.295160184,-1.201758357,-0.002734004
Suvi Linjamaa,Helsinki,Kristillisdemokraatit,33,http://www.suvivirsia.blogspot.fi,filosofian maisteri,Kansalliskonservatiivit,-0.221080023,0.045133163,-1.031191264,0.297586311
Jani Liukkonen,Helsinki,Kristillisdemokraatit,33,http://www.janiliukkoneneduskuntaan2015.fi,Peruskoulu,Kansalliskonservatiivit,0.841207378,0.785377341,-0.882430092,-0.200159792
Sari Mäkimattila,Helsinki,Kristillisdemokraatit,49,http://www.kristillisdemokraatit.fi/sarimakimattila,Dosentti & lääketieteen tohtori & erikoislääkäri & elintarviketieteiden maisteri,Kansalliskonservatiivit,0.971965237,0.18616844,-1.567943196,-0.800139387
Terho Nikulainen,Helsinki,Kristillisdemokraatit,63,,Alempi korkeakoulututkinto,Demarit,-0.939064756,-0.780985242,-1.263059003,1.133278361
Petteri Pietikäinen,Helsinki,Kristillisdemokraatit,48,http://petteripietikainen.puheenvuoro.uusisuomi.fi/kayttaja/petteripietikainen,Yliopistotaso,Kansalliskonservatiivit,1.053851497,0.387045619,-1.166576376,-0.70041855
Remo Ronkainen,Helsinki,Kristillisdemokraatit,25,http://www.remoronkainen.fi,Kandidaatin tutkinto,Oikeisto,0.889434485,-0.232802486,-0.34594701,-0.092859995
Seppo Samppala,Helsinki,Kristillisdemokraatit,57,https://sepposamppalavaalit.wordpress.com/,korkeakoulututkinto,Kansalliskonservatiivit,0.490118516,0.355465627,-0.910881891,-0.797254279
Hanna-Kaisa Simojoki,Helsinki,Kristillisdemokraatit,39,,ylempi korkeakoulututkinto,Oikeisto,1.467936632,-0.860366106,-0.152464507,0.601186742
Tuulikki Tepora,Helsinki,Kristillisdemokraatit,,http://www,Kasvatustieteen maisteri & luokanopettaja,Kansalliskonservatiivit,0.272127358,0.048352536,-1.84411453,0.118495517
Riku Eskelinen,Helsinki,Keskusta,36,http://www.rikueskelinen.net,,Demarit,-0.816074411,-0.549624884,-0.571254896,1.252631006
Karl-Mikael Grimm,Helsinki,Keskusta,23,http://www.grimm.fi,Valtiotieteiden yo.,Viherliberaalit,-0.362893282,-0.691730613,0.496942214,1.074351493
Niina Hietalahti,Helsinki,Keskusta,40,http://www.niinahietalahti.fi,Tradenomi & HSO,Oikeisto,0.669665598,-0.280023482,0.749915818,0.39610931
Tapio Huttula,Helsinki,Keskusta,51,http://www.tapiohuttula.fi,Filosofian tohtori,Viherliberaalit,-0.21746783,-0.791851834,-0.087019935,1.120298728
Johannes Kananen,Helsinki,Keskusta,35,http://www.johanneskananen.fi,Valtiotieteen tohtori,Vihervasemmisto,-1.538528682,-0.777750579,-0.137596577,1.598749112
Anne Kettunen,Helsinki,Keskusta,38,http://www.annekettunen.fi,YTM yhteiskuntatieteiden maisteri,Viherliberaalit,0.947340914,-1.142968689,1.037948954,1.012485504
Laura Kolbe,Helsinki,Keskusta,57,http://www.laurakolbe.net,Filosofian tohtori,Viherliberaalit,0.431420156,-0.748051647,0.691677693,0.467403171
Timo Laaninen,Helsinki,Keskusta,60,http://www.timolaaninen.fi,Ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.620555264,-0.592153054,-0.705334382,-0.19517594
Paula Lehtomäki,Helsinki,Keskusta,42,http://www.paulalehtomaki.fi,ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.508104862,-0.544291169,-0.331008268,-0.064468013
Anne Majuri,Helsinki,Keskusta,49,http://www.annemajuri.fi,Kasvatustieteen maisteri (KM & PT & LAT),Kansalliskonservatiivit,0.324048955,0.627202737,-0.48584543,0.453604755
Leena Pakkanen,Helsinki,Keskusta,67,,Ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.305796806,-0.934038581,-0.267115139,-0.731062858
Terhi Peltokorpi,Helsinki,Keskusta,39,http://www.peltokorpi.net,kätilö (AMK) & sairaanhoitaja (SMK) & KK,Demarit,-0.247646541,-0.711997826,-0.935635248,0.575719539
Teppo Säkkinen,Helsinki,Keskusta,24,http://www.tepposakkinen.fi,Yhteiskuntatieteiden ylioppilas,Oikeisto,0.838505303,-0.501481519,0.916610975,0.444144163
Juha Hakola,Helsinki,Kokoomus,47,http://www.juhahakola.fi,ylempi korkeakoulututkinto (yliopisto),Oikeisto,1.147035439,-0.308212941,-0.410659694,-1.375328216
Joel Harkimo,Helsinki,Kokoomus,25,http://www.joelharkimo.com,Ylioppilas,Oikeisto,1.595776538,-0.545862157,1.069427927,-0.765742417
Fatbardhe Hetemaj,Helsinki,Kokoomus,29,http://www.hetemaj.fi/,kauppatieteiden kandidaatin tutkinto (KTK),Viherliberaalit,0.665168925,-0.928294576,1.061441029,0.56226512
Arja Karhuvaara,Helsinki,Kokoomus,60,http://www.karhuvaara.fi,yo & ent.opistotaso ja yliopisto-aineopintoja,Oikeisto,1.707697526,-1.090664835,-0.617418529,0.011405563
Terhi Koulumies,Helsinki,Kokoomus,44,http://www.terhikoulumies.fi,Valtiotieteiden maisteri,Oikeisto,1.018829321,0.098077367,0.952665731,-0.334163391
Pekka Majuri,Helsinki,Kokoomus,65,http://www.pekkamajuri.fi,Korkeakoulu,Oikeisto,1.432569632,-0.625680058,0.248165663,-0.87590211
Seija Muurinen,Helsinki,Kokoomus,61,http://www.seijamuurinen.net,Terveystieteiden tohtori & sairaanhoitaja-diakonissa,Oikeisto,0.90947743,0.083827356,-0.276796067,-1.079938941
Matti Parpala,Helsinki,Kokoomus,28,http://www.mattiparpala.fi,Kauppatiet. kand. & Master in Public Policy (Harvard) '15,Oikeisto,1.703122278,-1.144127332,0.923191214,0.061523328
Jaana Pelkonen,Helsinki,Kokoomus,38,http://www.jaanapelkonen.com,VTM,Oikeisto,1.247159295,-0.416208068,0.844206844,0.099409517
Marjatta Rasi,Helsinki,Kokoomus,69,http://www.marjattarasi.fi,korkeakoulu & OTK,Oikeisto,0.49400362,-1.17755271,-0.284194871,-0.431530662
Wille Rydman,Helsinki,Kokoomus,29,http://www.willerydman.fi,Valtiotieteiden maisteri,Oikeisto,1.980886142,0.392454493,0.664409802,-1.164878507
Laura Räty,Helsinki,Kokoomus,37,http://www.lauraraty.net,Lisensiaatti / ylempi korkeakoulututkinto,Oikeisto,1.504908162,-1.007777444,0.712996588,-0.095347898
Pertti Salolainen,Helsinki,Kokoomus,74,http://www.perttisalolainen.fi,Kauppatieteiden maisteri,Oikeisto,1.598466223,-0.58841134,0.059070527,0.264490884
Sari Sarkomaa,Helsinki,Kokoomus,49,http://www.sarisarkomaa.fi,terveydenhuollon maisteri ja röntgenhoitaja,Oikeisto,1.679562404,-0.77276565,1.097263498,-0.025563592
Daniel Sazonov,Helsinki,Kokoomus,22,http://www.danielsazonov.fi,Oikeustieteen ja tekniikan ylioppilas,Oikeisto,1.656711068,-1.297305576,0.863350116,-0.046461677
Ben Zyskowicz,Helsinki,Kokoomus,60,http://www.benkku.fi,Oikeustieteen kandidaatti,Oikeisto,1.478200952,-1.03820857,0.064182726,-0.836980301
Juhani Linnanheimo,Helsinki,Muutos 2011,53,http://www.linnanheimo.fi,Opistotaso,Kansalliskonservatiivit,-0.109771725,1.26471156,-0.349832077,-1.634506117
Markku Penttilä,Helsinki,Muutos 2011,71,,Fil.maisteri,Kansalliskonservatiivit,0.154212264,0.904000735,-0.411869602,-0.354403683
Ahto Apajalahti,Helsinki,Piraattipuolue,27,http://www.ahtoapajalahti.fi,Humanististen tieteiden kandidaatti,Viherliberaalit,-0.006270074,-0.335142639,0.938625352,0.485645823
Ville Hautakangas,Helsinki,Piraattipuolue,37,http://hautakangas.puheenvuoro.uusisuomi.fi,Ylioppilas,Viherliberaalit,-0.603534124,-0.619153426,1.267804884,0.389238893
Satu Immonen,Helsinki,Piraattipuolue,46,http://piraattipuolue.fi/satu-immonen,Fil. yo,Vihervasemmisto,-1.264990845,-0.482793005,1.50833526,0.976989648
Janne Lohilahti,Uusimaa,Piraattipuolue,25,http://janne2015.fi,,Viherliberaalit,-0.624986881,-0.55204779,1.80691966,0.679687754
Petrus Pennanen,Helsinki,Piraattipuolue,42,http://www.petrushelsinki.net,Filosofian tohtori (teoreettinen fysiikka),Oikeisto,1.032697685,0.130946942,1.564776477,-0.120711971
Raoul Plommer,Helsinki,Piraattipuolue,37,http://xn--hn-via.fi,Korkeakoulu,Viherliberaalit,-0.794507396,0.045910702,1.634609991,0.804083973
Essi Miettinen,Helsinki,Piraattipuolue,22,http://www,,Viherliberaalit,-0.559422773,-0.408061706,1.234853486,0.875890856
Mira Salmela,Helsinki,Piraattipuolue,25,http://piraattipuolue.fi/mira-salmela,,Viherliberaalit,-0.980441208,-0.794516348,0.814788934,0.712346072
Marko Ekqvist,Helsinki,Perussuomalaiset,45,http://vaalit.ekqvist.fi,korkeakoulu,Kansalliskonservatiivit,0.341656783,2.133337856,0.627768859,-2.412277836
Nina Huru,Helsinki,Perussuomalaiset,54,http://www.ninahuru.fi,Sairaanhoidonopettaja & erikoissairaanhoitaja & kaupunginvaltuutettu,Demarit,-0.866231783,1.0400648,-1.239245832,-1.220965597
Nuutti Hyttinen,Helsinki,Perussuomalaiset,33,http://www.nuuttihyttinen.fi,Kaksi ylempää korkeakoulututkintoa (oikeustieteen kandidaatti & kauppatieteiden maisteri),Kansalliskonservatiivit,0.746546686,1.094272855,1.035158174,-1.125255873
Jarmo Keto,Helsinki,Perussuomalaiset,28,http://www.jarmoketo.fi,Alempi AMK,Oikeisto,1.088810622,0.215812441,0.885512419,-0.092909413
Pia Kopra,Helsinki,Perussuomalaiset,50,http://www.piakopra.fi,korkeakouluarvo.,Kansalliskonservatiivit,0.503941187,1.708763786,-1.044515984,-1.644910377
Aleksi Niskanen,Helsinki,Perussuomalaiset,28,http://www.aleksiniskanen.fi,Yhteiskuntatieteiden maisteri,Kansalliskonservatiivit,0.450123233,1.530280191,0.822708202,-2.129720234
Tom Packalén,Helsinki,Perussuomalaiset,45,http://www.tompackalen.fi,Alempi korkeakoulututkinto,Kansalliskonservatiivit,0.99807216,1.003913517,-0.837608493,-2.137319989
Mika Raatikainen,Helsinki,Perussuomalaiset,53,,Korkeakoulututkinto,Kansalliskonservatiivit,0.810907865,1.509856202,-0.100487748,-1.828293821
Mari Rantanen,Helsinki,Perussuomalaiset,38,http://www.marirantanen.fi,Alempi korkea-aste,Kansalliskonservatiivit,-0.227980243,1.341561117,0.029251669,-0.64423454
Tuula Salo,Helsinki,Perussuomalaiset,51,http://www.tuulasalo.fi,AMK,Kansalliskonservatiivit,-0.026097939,0.34528566,-0.529739955,-0.915286448
Antti Valpas,Helsinki,Perussuomalaiset,36,http://www.valpas.info,Opisto,Kansalliskonservatiivit,-0.14985943,1.813242498,-0.234122066,-0.95357231
Antti Korhonen,Helsinki,Perussuomalaiset,51,http://www.anttikorhonen.fi,Hallintotieteiden maisteri. Tampereen Yliopisto,Kansalliskonservatiivit,0.050424942,1.745477769,-0.063580897,-1.853446033
Maria Landen,Helsinki,Perussuomalaiset,28,http://www.marialanden.fi,Peruskoulu,Kansalliskonservatiivit,0.518167796,1.730411102,-0.625136955,-1.96023932
Nicholas Anderson,Helsinki,RKP,66,http://www.anderson2015,BA (Lontoo) & Bar Finals (asianajan lopputukinto) & (Lontoo),Viherliberaalit,0.905316207,-1.323883199,0.121811917,0.837308683
Tom Biaudet,Helsinki,RKP,64,,diplomi ekonomi,Oikeisto,0.570039223,-0.818024011,0.613323325,0.388267633
Silja Borgarsdóttir Sandelin,Helsinki,RKP,30,http://www.silja.nu,valtiotieteiden maisteri,Viherliberaalit,0.510880681,-1.565428835,0.882956291,1.276308796
Christina Dahlblom,Helsinki,RKP,36,http://www.christinadahlblom.fi,Kauppatieteiden tohtori,Oikeisto,1.425652227,-1.323887256,1.277987879,-0.024125621
Cecilia Ehrnrooth,Helsinki,RKP,42,,VM,Oikeisto,0.923866626,-0.630742326,0.146348086,-0.084527927
